, ,순위, ,종목명, ,시장, ,종가, ,PER, ,ROA, ,EPS, ,BPS, ,PBR, ,ROE, ,시총(우선주포함), ,관리여부, ,산업명, ,결산월
0, ,1, ,HMM, ,코스피, ,"27,650", ,4.83, ,18.14%, ,"5,728", ,"15,796", ,1.75, ,36.26%, ,"13,521,942", ,일반, ,수상운송업, ,12월
1, ,2, ,효성티앤씨, ,코스피, ,"547,000", ,3.35, ,17.00%, ,"163,235", ,"290,519", ,1.88, ,56.19%, ,"2,367,242", ,일반, ,화학, ,12월
2, ,3, ,랩지노믹스, ,코스닥, ,"25,400", ,4.50, ,36.35%, ,"5,649", ,"11,773", ,2.16, ,47.98%, ,"290,832", ,일반, ,생명과학 도구 및 서비스, ,12월
3, ,4, ,금호석유, ,코스피, ,"184,500", ,3.00, ,24.54%, ,"61,461", ,"157,332", ,1.17, ,39.06%, ,"5,997,713", ,일반, ,화합물및화학제품제조업, ,12월
4, ,5, ,쿠쿠홈시스, ,코스피, ,"38,900", ,5.97, ,17.15%, ,"6,513", ,"27,872", ,1.40, ,23.37%, ,"872,812", ,일반, ,내구소비재, ,12월
5, ,6, ,태웅로직스, ,코스닥, ,"8,730", ,4.43, ,13.88%, ,"1,971", ,"5,087", ,1.72, ,38.75%, ,"170,556", ,일반, ,해상운수, ,12월
6, ,7, ,서희건설, ,코스닥, ,"1,640", ,2.31, ,11.53%, ,711, ,"2,777", ,0.59, ,25.60%, ,"376,886", ,일반, ,종합건설업, ,12월
7, ,8, ,포스코강판, ,코스피, ,"55,300", ,3.73, ,13.98%, ,"14,812", ,"51,563", ,1.07, ,28.73%, ,"331,800", ,일반, ,제1차금속산업, ,12월
8, ,9, ,코오롱글로벌, ,코스피, ,"22,200", ,4.08, ,5.47%, ,"5,445", ,"23,660", ,0.94, ,23.02%, ,"569,118", ,일반, ,종합건설업, ,12월
9, ,10, ,바디텍메드, ,코스닥, ,"16,450", ,6.89, ,28.93%, ,"2,386", ,"6,303", ,2.61, ,37.86%, ,"386,354", ,일반, ,생명과학 도구 및 서비스, ,12월
10, ,11, ,디바이스이엔지, ,코스닥, ,"29,900", ,6.64, ,18.55%, ,"4,503", ,"17,316", ,1.73, ,26.01%, ,"210,395", ,일반, ,디스플레이 및 관련부품, ,12월
